序号|Marks|Scored Time|CPU Frequency
1|3877|4755.0774 ms|4048.99 MHz
2|3861|4708.0061 ms|4022.28 MHz
3|3876|4719.0952 ms|4022.42 MHz
4|3875|4713.0203 ms|4048.47 MHz
5|3880|4715.0626 ms|4046.51 MHz
6|3880|4715.0424 ms|4050 MHz
7|3872|4728.026 ms|4021.35 MHz
8|3869|4723.0754 ms|4048.64 MHz
9|3880|4707.0611 ms|4049.82 MHz
10|3873|4711.0079 ms|4020.89 MHz
11|3869|4709.0548 ms|4021.97 MHz
12|3872|4718.0451 ms|4022.07 MHz
13|3882|4740.0773 ms|4022.82 MHz
14|3877|4710.0123 ms|4048.82 MHz
15|3866|4716.0196 ms|4020.51 MHz
