序号|Marks|Scored Time|CPU Frequency
1|482|40061.0068 ms|4049.93 MHz
2|482|40110.0844 ms|4048.28 MHz
3|482|40073.0609 ms|4051.06 MHz
4|482|40069.0685 ms|4047.98 MHz
5|482|40083.0885 ms|4046.55 MHz
6|482|40061.0069 ms|4048.22 MHz
7|482|40050.018 ms|4050.37 MHz
8|482|40050.0686 ms|4051.03 MHz
9|483|40059.0759 ms|4051.17 MHz
10|482|40058.0065 ms|4049.77 MHz
11|482|40065.0648 ms|4049.81 MHz
12|482|40068.0204 ms|4049.18 MHz
13|482|40066.0349 ms|4049.13 MHz
14|483|40058.0431 ms|4049.67 MHz
15|482|40046.0769 ms|4049.64 MHz
