序号|Marks|Scored Time|CPU Frequency
1|3413|5122.077 ms|4036.83 MHz
2|3897|4434.0245 ms|4050.96 MHz
3|3704|4714.0764 ms|4022.26 MHz
4|3909|4469.0072 ms|4019.92 MHz
5|3895|4447.0055 ms|4021.31 MHz
6|3377|4996.0978 ms|4023.52 MHz
7|4051|4324.0115 ms|4016.81 MHz
8|3389|5213.0959 ms|4021.34 MHz
9|4071|4324.0503 ms|4046.37 MHz
10|4063|4318.0791 ms|4047.23 MHz
11|4082|4313.0894 ms|4018.49 MHz
12|4026|4354.0088 ms|4020.48 MHz
13|4063|4333.0015 ms|4049.55 MHz
14|4041|4319.0579 ms|4047.85 MHz
15|4073|4315.0669 ms|4017.31 MHz
16|4031|4317.0211 ms|4019.48 MHz
17|3400|5241.0176 ms|4022.79 MHz
18|4069|4318.0511 ms|4047.18 MHz
19|4040|4330.0065 ms|4021.81 MHz
20|3879|4430.0754 ms|4018.19 MHz
21|3919|4557.0501 ms|4019.88 MHz
22|3887|4448.0202 ms|4018.57 MHz
23|3405|4980.0484 ms|4048.13 MHz
24|3982|4461.0045 ms|4018.2 MHz
25|4010|4382.0008 ms|4046.65 MHz
26|3858|4538.04 ms|4017.72 MHz
27|3938|4419.0252 ms|4046.24 MHz
28|3912|4495.0199 ms|4020.05 MHz
29|4048|4348.0227 ms|4018.2 MHz
30|2799|6166.0729 ms|4047.57 MHz
31|2535|6370.0418 ms|4048.49 MHz
32|4084|4314.0216 ms|4032.09 MHz
33|4055|4301.0218 ms|4019.8 MHz
34|4077|4337.0305 ms|4020.42 MHz
35|3823|4526.0987 ms|4023.34 MHz
36|3891|4453.0571 ms|4048.61 MHz
37|3918|4459.0245 ms|4046.38 MHz
38|4017|4393.0252 ms|4048.04 MHz
39|3878|4534.0924 ms|4021.29 MHz
40|4053|4311.0087 ms|4045.64 MHz
41|3440|4900.0745 ms|4024.3 MHz
42|3902|4478.0742 ms|4018.14 MHz
43|3710|4719.0796 ms|4045.73 MHz
44|3900|4473.0782 ms|4021.64 MHz
45|3405|4962.0862 ms|4050.68 MHz
46|3884|4365.0604 ms|4047.27 MHz
47|3918|4435.0009 ms|4048.14 MHz
48|3778|4599.081 ms|4017.2 MHz
49|3421|4976.0107 ms|4022.45 MHz
50|4040|4381.0005 ms|4027.28 MHz
51|3424|4954.0391 ms|4046.27 MHz
52|4023|4357.0208 ms|4046.37 MHz
53|4075|4278.0766 ms|4048.32 MHz
54|3877|4430.0876 ms|4047.79 MHz
55|4109|4289 ms|4017.06 MHz
56|4090|4308.0924 ms|4048.9 MHz
57|4029|4360.0147 ms|4023.99 MHz
58|3444|4944.0443 ms|4048.8 MHz
59|3889|4442.0294 ms|4047.22 MHz
60|3866|4458.0349 ms|4050.63 MHz
61|2769|6201.0532 ms|4048.58 MHz
62|4061|4329.076 ms|4019.88 MHz
63|4075|4303.0294 ms|4019.05 MHz
64|3381|4969.0329 ms|4019.19 MHz
65|4019|4348.007 ms|4019.98 MHz
66|4030|4361.0993 ms|4020.17 MHz
67|3917|4470.0302 ms|4047.42 MHz
68|4050|4362.0198 ms|4048.34 MHz
69|3875|4474.0846 ms|4048.04 MHz
70|3387|5016.0634 ms|4047.73 MHz
