序号|Marks|Scored Time|CPU Frequency
1|5059|3497.0909 ms|4040.94 MHz
2|5118|3470.0417 ms|4015.3 MHz
3|5081|3486.0121 ms|4049.68 MHz
4|5074|3518.0173 ms|4013.52 MHz
5|5056|3515.0599 ms|4015.43 MHz
6|5113|3481.0136 ms|4012.83 MHz
7|5113|3488.0522 ms|4048.78 MHz
8|5124|3469.0532 ms|4011.87 MHz
9|5123|3468.0801 ms|4049.14 MHz
10|5121|3473.071 ms|4050.65 MHz
11|5013|3509.0658 ms|4050.29 MHz
12|5107|3511.0074 ms|4016.31 MHz
13|5060|3510.0496 ms|4012.43 MHz
14|5067|3493.0805 ms|4014.44 MHz
15|4889|3634.0908 ms|4011.94 MHz
16|5069|3522.0079 ms|4047.34 MHz
17|5108|3473.0635 ms|4010.02 MHz
18|5088|3489.0451 ms|4047.59 MHz
19|5064|3496.0839 ms|4009.98 MHz
