序号|Marks|Scored Time|CPU Frequency
1|4394|4122.0457 ms|4030.57 MHz
2|4426|4114.0264 ms|4047.56 MHz
3|4403|4131.0448 ms|4020.16 MHz
4|4419|4124.0673 ms|4019.57 MHz
5|4399|4134.0669 ms|4017.42 MHz
6|4419|4115.0192 ms|4020.38 MHz
7|4407|4119.027 ms|4022.07 MHz
8|4425|4113.0569 ms|4048.15 MHz
9|4389|4118.0516 ms|4027.32 MHz
10|4392|4130.06 ms|4037.22 MHz
11|4407|4124.0174 ms|4038.53 MHz
12|4400|4139.0047 ms|4012.87 MHz
13|4418|4126.0719 ms|4019.18 MHz
14|4421|4118.0496 ms|4028.15 MHz
15|4419|4112.0671 ms|4018.58 MHz
