序号|Marks|Scored Time|CPU Frequency
1|2550|7921.06 ms|4042.1 MHz
2|2583|7668.0488 ms|4035.28 MHz
3|2548|7898.0009 ms|4035.3 MHz
4|2543|7927.0906 ms|4035.67 MHz
5|2543|7846.0787 ms|4033.43 MHz
6|2502|8015.0929 ms|4050.86 MHz
7|2533|7949.0422 ms|4052.18 MHz
8|2582|7686.007 ms|4033.53 MHz
9|2542|7808.0179 ms|4033.7 MHz
10|2545|7691.038 ms|4050.7 MHz
11|2469|8265.0338 ms|4037.2 MHz
12|2495|8081.0328 ms|4035.08 MHz
13|2554|7903.035 ms|4052.25 MHz
14|2545|7912.0695 ms|4035.24 MHz
15|2547|7987.0954 ms|4039.94 MHz
16|2548|7922.0641 ms|4042.86 MHz
17|2581|7787.0577 ms|4036.7 MHz
18|2451|8238.0809 ms|4051.28 MHz
19|2446|8254.0111 ms|4035.64 MHz
20|2579|7734.0602 ms|4043.82 MHz
21|2609|7455.0616 ms|4049.8 MHz
22|2542|7897.0322 ms|4049.86 MHz
23|2545|7809.0036 ms|4043.85 MHz
24|2560|7871.0044 ms|4031.95 MHz
25|2531|7990.0854 ms|4050.77 MHz
26|2569|7840.036 ms|4050.18 MHz
27|2561|7868.0106 ms|4035.23 MHz
28|2573|7575.0011 ms|4031.95 MHz
29|2501|8017.078 ms|4050.51 MHz
30|2541|7911.0841 ms|4050.6 MHz
31|2476|8245.011 ms|4038.01 MHz
32|2608|7276.0828 ms|4032.67 MHz
33|2624|7448.0655 ms|4051.44 MHz
34|2485|8260.0074 ms|4052.91 MHz
35|2556|7820.0403 ms|4051.82 MHz
36|2586|7789.0629 ms|4033.64 MHz
37|2554|7888.0071 ms|4044.01 MHz
38|2560|7877.0202 ms|4035.96 MHz
39|2566|7840.0791 ms|4049.88 MHz
40|2514|7984.0046 ms|4034.46 MHz
41|2571|7833.0728 ms|4048.93 MHz
42|2572|7691.0016 ms|4033.07 MHz
43|2542|7903.0673 ms|4050.92 MHz
44|2534|7987.0505 ms|4051.21 MHz
45|2505|8029.025 ms|4034.72 MHz
46|2544|7859.0738 ms|4033.92 MHz
47|2534|7756.0804 ms|4053.04 MHz
48|2545|7734.0182 ms|4042.6 MHz
49|2587|7666.0892 ms|4050.37 MHz
50|2557|7884 ms|4051.52 MHz
51|2543|7926.0943 ms|4050.8 MHz
52|2546|7904.027 ms|4035.88 MHz
53|2531|7942.0928 ms|4039.44 MHz
