序号|Marks|Scored Time|CPU Frequency
1|3859|4729.0678 ms|4033.5 MHz
2|3874|4707.0391 ms|4051.98 MHz
3|3873|4759.0728 ms|4020.7 MHz
4|3856|4774.0124 ms|4048.9 MHz
5|3855|4735.0078 ms|4047.91 MHz
6|3808|4793.0375 ms|4048.13 MHz
7|3857|4751.0249 ms|4024.15 MHz
8|3855|4806.0329 ms|4047.02 MHz
9|3861|4718.0368 ms|4026.4 MHz
10|3867|4725.0049 ms|4020.3 MHz
11|3863|4719.0861 ms|4048.16 MHz
12|3826|4760.0964 ms|4048.88 MHz
13|3881|4711.0608 ms|4047.78 MHz
14|3880|4728.0085 ms|4048.62 MHz
15|3844|4727.0117 ms|4050.05 MHz
