序号|Marks|Scored Time|CPU Frequency
1|468|41227.0562 ms|4052.46 MHz
2|468|41173.0168 ms|4054.4 MHz
3|468|41196.0843 ms|4050.25 MHz
4|468|41188.0141 ms|4049.39 MHz
5|468|41258.0581 ms|4049.65 MHz
6|468|41198.0729 ms|4048.52 MHz
7|468|41238.0561 ms|4049.65 MHz
8|468|41172.0975 ms|4053.09 MHz
9|468|41276.089 ms|4051.4 MHz
10|468|41251.0816 ms|4049.34 MHz
11|468|41242.0421 ms|4051.92 MHz
12|468|41251.0033 ms|4051.75 MHz
13|468|41196.052 ms|4053.6 MHz
14|468|41196.0249 ms|4049.69 MHz
15|468|41204.0958 ms|4048.78 MHz
