序号|Marks|Scored Time|CPU Frequency
1|4406|4121.0714 ms|4048.74 MHz
2|4375|4157.0005 ms|4017.87 MHz
3|4360|4143.0195 ms|4047.41 MHz
4|4377|4171.0306 ms|4050.96 MHz
5|4376|4138.0134 ms|4048.86 MHz
6|4396|4132.0947 ms|4048.66 MHz
7|4391|4134.001 ms|4046.12 MHz
8|4354|4189.0705 ms|4019.59 MHz
9|4356|4155.0847 ms|4019.85 MHz
10|4395|4130.0882 ms|4047.91 MHz
11|4392|4133.0499 ms|4022.34 MHz
12|4401|4128.0463 ms|4018.35 MHz
13|4381|4136.0522 ms|4048.9 MHz
14|4385|4153.0733 ms|4050.8 MHz
15|4384|4135.0132 ms|4049.62 MHz
