序号|Marks|Scored Time|CPU Frequency
1|4389|4139.054 ms|4021.7 MHz
2|4378|4120.0438 ms|4050.86 MHz
3|4395|4123.0031 ms|4031.17 MHz
4|4365|4127.0794 ms|4022.97 MHz
5|4366|4129.0138 ms|4047.34 MHz
6|4363|4125.0487 ms|4049.93 MHz
7|4391|4118.0659 ms|4019.17 MHz
8|4336|4170.0803 ms|4017.88 MHz
9|4373|4135.0546 ms|4049.4 MHz
10|4380|4123.0666 ms|4047.63 MHz
11|4371|4140.0674 ms|4046.97 MHz
12|4360|4123.0264 ms|4047.18 MHz
13|4372|4139.0245 ms|4049.25 MHz
14|4360|4130.0607 ms|4047.61 MHz
15|4387|4119.0859 ms|4046.76 MHz
