序号|Marks|Scored Time|Load Average (1m)|Load Average (5m)|Load Average (15m)
1|535|35683.0063 ms|0.6|0.35|0.38
2|531|35856.0789 ms|0.87|0.45|0.41
3|531|35908.0423 ms|0.93|0.52|0.44
4|529|36009.0595 ms|1.01|0.6|0.47
5|532|35945.0889 ms|1|0.66|0.5
6|532|35921.0078 ms|1|0.7|0.52
7|532|35827.0839 ms|1|0.74|0.55
8|531|35847.0858 ms|1|0.78|0.57
9|533|35797.0479 ms|1.21|0.86|0.6
10|534|35765.0788 ms|1.3|0.93|0.64
11|534|35798.0105 ms|1.26|0.97|0.67
12|534|35755.0441 ms|1.13|0.97|0.68
13|534|35721.0409 ms|1.07|0.98|0.7
14|533|35719.0888 ms|1.12|1.01|0.73
15|534|35741.0495 ms|1.06|1.01|0.74
