序号|Marks|Scored Time|CPU Frequency
1|399|47952.0983 ms|4051.5 MHz
2|399|47964.0296 ms|4050.27 MHz
3|398|47987.0976 ms|4051.9 MHz
4|398|47994.0992 ms|4049.65 MHz
5|398|48003.0035 ms|4049.27 MHz
6|399|47970.0421 ms|4050.5 MHz
7|398|48005.0612 ms|4052.26 MHz
8|399|47943.024 ms|4051.13 MHz
9|399|47980.0949 ms|4053.51 MHz
10|399|47951.0864 ms|4051.09 MHz
11|398|48013.0864 ms|4053.23 MHz
12|398|47985.0747 ms|4050.88 MHz
13|399|47966.0991 ms|4050.88 MHz
14|399|47969.0687 ms|4053.51 MHz
15|398|48032.0082 ms|4051.58 MHz
