序号|Marks|Scored Time|CPU Frequency
1|398|47965.0998 ms|4052 MHz
2|398|47964.0597 ms|4052.86 MHz
3|398|48142.0763 ms|4052.21 MHz
4|398|47981.0042 ms|4051.95 MHz
5|398|47979.0546 ms|4048.97 MHz
6|398|47981.0607 ms|4051.94 MHz
7|399|47979.0539 ms|4051.14 MHz
8|397|47995.0316 ms|4049.18 MHz
9|399|47982.0297 ms|4050.03 MHz
10|398|47993.0915 ms|4050.57 MHz
11|399|47980.0861 ms|4048.81 MHz
12|398|48031.0269 ms|4051.61 MHz
13|398|48000.0553 ms|4048.86 MHz
14|399|47970.0056 ms|4050.01 MHz
15|399|47978.0563 ms|4053.16 MHz
