序号|Marks|Scored Time|CPU Frequency
1|1307|14516.0406 ms|4048.2 MHz
2|1306|14509.0756 ms|4048.2 MHz
3|1309|14513.0777 ms|4040.02 MHz
4|1308|14515.0236 ms|4040.59 MHz
5|1306|14508.0452 ms|4040.38 MHz
6|1309|14506.0582 ms|4049.76 MHz
7|1310|14505.017 ms|4040.64 MHz
8|1309|14501.0132 ms|4039.87 MHz
9|1309|14512.0192 ms|4041.26 MHz
10|1308|14509.0007 ms|4049 MHz
11|1306|14510.0557 ms|4039.81 MHz
12|1307|14539.0822 ms|4040.01 MHz
13|1309|14512.0801 ms|4047.53 MHz
14|1309|14507.0657 ms|4048.59 MHz
15|1306|14461.0909 ms|4049.97 MHz
