序号|Marks|Scored Time|CPU Frequency
1|1139|16783.0766 ms|4044.78 MHz
2|1140|16747.0919 ms|4049.27 MHz
3|1134|16779.0539 ms|4041.61 MHz
4|1133|16860.0315 ms|4042.07 MHz
5|1139|16767.0972 ms|4044.35 MHz
6|1140|16745.0149 ms|4050.27 MHz
7|1138|16827.0403 ms|4043.94 MHz
8|1139|16784.0545 ms|4042.53 MHz
9|1140|16756.0798 ms|4050.01 MHz
10|1138|16772.0808 ms|4041.77 MHz
11|1135|16758.055 ms|4049.31 MHz
12|1139|16763.0122 ms|4041.66 MHz
13|1140|16748.0193 ms|4042.14 MHz
14|1137|16858.0438 ms|4042.13 MHz
15|1140|16773.0839 ms|4045.03 MHz
