序号|Marks|Scored Time|CPU Frequency
1|3993|4599.0299 ms|4036.45 MHz
2|3976|4659.073 ms|4021.6 MHz
3|3982|4607.0617 ms|4048.22 MHz
4|3998|4617.0521 ms|4022.17 MHz
5|4001|4585.0143 ms|4025.4 MHz
6|3974|4594.0792 ms|4021.66 MHz
7|4001|4601.062 ms|4022.36 MHz
8|3971|4602.0546 ms|4022.58 MHz
9|3996|4589.0305 ms|4019.85 MHz
10|3944|4601.0631 ms|4024.43 MHz
11|3988|4589.0323 ms|4021.16 MHz
12|3976|4643.0302 ms|4020.69 MHz
13|3998|4588.0976 ms|4050.71 MHz
14|3981|4616.0925 ms|4021.38 MHz
15|3992|4601.0729 ms|4021.27 MHz
