序号|Marks|Scored Time|CPU Frequency
1|4429|4097.0608 ms|4030.15 MHz
2|4416|4083.0175 ms|4017.98 MHz
3|4429|4077.0907 ms|4050.26 MHz
4|4427|4097.0251 ms|4050.59 MHz
5|4417|4084.0529 ms|4020.46 MHz
6|4411|4092.0285 ms|4049.37 MHz
7|4432|4079.0374 ms|4018.87 MHz
8|4417|4101.0501 ms|4050.04 MHz
9|4405|4087.095 ms|4019.6 MHz
10|4424|4080.0476 ms|4019.05 MHz
11|4411|4084.082 ms|4049.62 MHz
12|4446|4074.0426 ms|4049.19 MHz
13|4425|4082.0817 ms|4051.08 MHz
14|4390|4091.0187 ms|4050.73 MHz
15|4386|4108.0345 ms|4023.99 MHz
