序号|Marks|Scored Time|CPU Frequency
1|4252|4291.0826 ms|4030.62 MHz
2|4251|4303.0402 ms|4020.77 MHz
3|4243|4341.0215 ms|4020.73 MHz
4|4130|4379.0421 ms|4049.36 MHz
5|4252|4291.0669 ms|4019.91 MHz
6|4243|4296.0566 ms|4019.68 MHz
7|4209|4343.0119 ms|4018.81 MHz
8|4244|4289.0594 ms|4045.35 MHz
9|4219|4316.056 ms|4022.7 MHz
10|4247|4290.076 ms|4050.25 MHz
11|4217|4301.0642 ms|4024.55 MHz
12|4233|4327.0996 ms|4022.61 MHz
13|4196|4314.097 ms|4049.8 MHz
14|4146|4344.0956 ms|4047.49 MHz
15|4186|4377.0902 ms|4020.29 MHz
